Brand	Product
Access	Virus A / B / C / TI
AKG	BX 20
AKG	C12 / C12 VR
AKG	C24
AKG	C414 (EB / comb / XLS)
AKG	D12 / D12E / D112
Akai	AX60 / AX73 / AX80
Akai	MPC60 / MPC60II
Akai	MPC3000
Akai	MPC2000 / MPC2000XL
Akai	S900 / S950
Akai	S1000 / S1100
Akai	S3000XL / S3200
Alesis	Andromeda A6
Alesis	HR-16 / HR-16B
Alesis	Quadrasynth
Alesis	SR-16
Altec	1567A Tube Mixer
Ampex	350 Tape Recorder
Ampex	ATR-102
AMS	DMX 15-80S
AMS Neve	1073SPX
AMS Neve	1073DPX
AMS Neve	33609/N
AMS Neve	8801
API	2500 / 2500+
API	3124V
API	550A
API	560
ARP	2500
ARP	2600
ARP	Avatar
ARP	Axxe
ARP	Odyssey
ARP	Omni I / II
ARP	Pro Soloist
ARP	Quadra
ARP	Solina String Ensemble
Aston Microphones	Origin
Aston Microphones	Spirit
Aston Microphones	Stealth
Audient	ASP800 / ASP880
Audient	iD44
Austrian Audio	OC818
Avalon	VT-737sp
Binson	Echorec / Echorec 2
Boss	DM-1 Delay Machine
Boss	DM-2 / DM-3 Delay
Buchla	200 / 200e Series
Buchla	Music Easel
Burl Audio	B2 Bomber ADC / DAC
Burl Audio	Mothership B16 / B80
Calrec	Vintage EQ / Compressor Modules
Casio	CZ-101 / CZ-1 / CZ-5000
Casio	FZ-1
Casio	RZ-1
Casio	SK-1 / SK-5
Casio	VL-1 (VL-Tone)
Casio	VZ-1
Chandler Limited	EMI TG12413 Zener Limiter
Chandler Limited	REDD.47 Preamp
Chandler Limited	RS124 Compressor
Chandler Limited	TG1 Limiter
Chandler Limited	TG12345 Curve Bender
Chilton	Talentmaker
Coles	4038
Crumar	Bit One / Bit 99
Crumar	Multiman / Orchestrator
Crumar	Performer
Crumar	Spirit
dbx	160
Dynacord	VRS-23
Eko	Computerhythm
Electro-Harmonix	Memory Man / Deluxe Memory Man
Electro-Voice	RE20
Elka	Rhapsody 490 / 610
Elka	Synthex
Elysia	Karacter
Elysia	Mpressor
Elysia	Museq
Elysia	Xfilter
E-MU Systems	Audity 2000
E-MU Systems	Emulator I / II / III
E-MU Systems	Morpheus
E-MU Systems	Orbit / Planet Phatt
E-MU Systems	Proteus 1 / 2 / 3
E-MU Systems	SP-12 / SP-1200
Eminent	Solina String Ensemble
Empirical Labs	EL8 / EL8X Distressor
EMS	Synthi AKS / Synthi 100
EMS	VCS3
Ensoniq	ASR-10 / ASR-X
Ensoniq	EPS / EPS-16+
Ensoniq	ESQ-1 / SQ-80
Ensoniq	Fizmo
Ensoniq	Mirage
Ensoniq	VFX / VFX-SD
Eventide	H3000
Evans	Echopet EP-50 / EP-100
EMT	140 Plate Reverb
EMT	250 Electronic Reverb
Fairchild	660 / 670
Fairlight	CMI Series I / II / III
Focusrite	ISA 110 / 130
Focusrite	ISA 428 / 828 MkII
Focusrite	ISA One
Focusrite	Red 1 / Red 2 / Red 3
Helios	Type 69
Hohner	Clavinet D6 / E7 / C
Hohner	Pianet N / T
Ibanez	AD-80 / AD-9 Analog Delay
Ibanez	AD-202 / AD-230 Rack Delay
Kawai	K1 / K1R
Kawai	K4 / K4R
Kawai	K5 / K5000S / K5000W
Kawai	SX-210 / SX-240
Klemt	Echolette NG51
Korg	Delta
Korg	M1
Korg	Minipops 7 / 120
Korg	Mono/Poly
Korg	MS-10 / MS-50
Korg	MS-20
Korg	MS-2000
Korg	PE-1000 / PE-2000 Polyphonic Ensemble
Korg	Poly-61
Korg	Poly-800
Korg	Polysix
Korg	Prophecy
Korg	SE-300 / SE-500 Stage Echo
Korg	Trident
Korg	Wavestation
Korg	Z1
Kush Audio	Clariphonic
Lexicon	224
